,PID,CCName,Lat,Lon,latitude,longitude,distance
19,2,CC1,30.58141743599776,-96.27354916400223,32.48191271428571,-99.74615822448979,243.01192588259283
20,2,CC2,29.94163953599776,-95.62146636400223,32.48191271428571,-99.74615822448979,300.3120677015703
21,2,CC3,29.57231623599776,-98.66450816400224,32.48191271428571,-99.74615822448979,210.98383523160925
22,2,CC4,33.01436533599776,-96.91406716400223,32.48191271428571,-99.74615822448979,168.63263347704313
23,2,CC5,32.90621253599776,-97.24508146400224,32.48191271428571,-99.74615822448979,148.35083219236424
24,2,CC6,30.317991435997758,-95.54625956400224,32.48191271428571,-99.74615822448979,289.27588005643855
25,2,CC7,30.40097953599776,-97.60847516400224,32.48191271428571,-99.74615822448979,191.17418286982934
26,2,CC8,30.256567935997758,-97.86651526400223,32.48191271428571,-99.74615822448979,189.5617269741807
27,2,CC9,33.494254235997765,-94.10303056400224,32.48191271428571,-99.74615822448979,334.3927467194002
28,2,CC10,29.98764483599776,-94.00640206400223,32.48191271428571,-99.74615822448979,380.29147418400703
29,2,CC11,32.66487923599776,-97.18582756400224,32.48191271428571,-99.74615822448979,149.6070928705012
30,2,CC12,30.165192835997757,-97.84980756400223,32.48191271428571,-99.74615822448979,195.310914868647
31,2,CC13,33.060500835997765,-97.01219376400223,32.48191271428571,-99.74615822448979,163.7814015188568
32,2,CC14,33.214847035997764,-96.71342586400223,32.48191271428571,-99.74615822448979,183.1687576153991
33,2,CC15,29.519389635997758,-95.42682336400223,32.48191271428571,-99.74615822448979,327.5638955339136
34,2,CC16,32.62743383599776,-96.85587306400224,32.48191271428571,-99.74615822448979,168.61731886194138
35,2,CC17,31.61238243599776,-94.64591756400223,32.48191271428571,-99.74615822448979,304.6413656294955
36,2,CC18,32.917913235997766,-97.20241866400224,32.48191271428571,-99.74615822448979,150.93295093915478
37,2,CC19,31.947098935997758,-106.43302206400223,32.48191271428571,-99.74615822448979,392.57116547040016
95,6,CC1,30.58141743599776,-96.27354916400223,30.5831006,-96.2757362,0.17449401441416457
96,6,CC2,29.94163953599776,-95.62146636400223,30.5831006,-96.2757362,59.06636433928078
97,6,CC3,29.57231623599776,-98.66450816400224,30.5831006,-96.2757362,158.9790427335517
98,6,CC4,33.01436533599776,-96.91406716400223,30.5831006,-96.2757362,172.11448035136502
99,6,CC5,32.90621253599776,-97.24508146400224,30.5831006,-96.2757362,170.31449396977698
100,6,CC6,30.317991435997758,-95.54625956400224,30.5831006,-96.2757362,47.15300961780595
101,6,CC7,30.40097953599776,-97.60847516400224,30.5831006,-96.2757362,80.33935907850586
102,6,CC8,30.256567935997758,-97.86651526400223,30.5831006,-96.2757362,97.42882645851601
103,6,CC9,33.494254235997765,-94.10303056400224,30.5831006,-96.2757362,237.9992269980535
104,6,CC10,29.98764483599776,-94.00640206400223,30.5831006,-96.2757362,141.50665054303104
105,6,CC11,32.66487923599776,-97.18582756400224,30.5831006,-96.2757362,153.47769613231452
106,6,CC12,30.165192835997757,-97.84980756400223,30.5831006,-96.2757362,98.17131598666235
107,6,CC13,33.060500835997765,-97.01219376400223,30.5831006,-96.2757362,176.54629731755028
108,6,CC14,33.214847035997764,-96.71342586400223,30.5831006,-96.2757362,183.63929235431152
109,6,CC15,29.519389635997758,-95.42682336400223,30.5831006,-96.2757362,89.32522850986587
110,6,CC16,32.62743383599776,-96.85587306400224,30.5831006,-96.2757362,145.31592808703027
111,6,CC17,31.61238243599776,-94.64591756400223,30.5831006,-96.2757362,119.8119974645641
112,6,CC18,32.917913235997766,-97.20241866400224,30.5831006,-96.2757362,170.25759052837537
113,6,CC19,31.947098935997758,-106.43302206400223,30.5831006,-96.2757362,607.001424398515
114,7,CC1,30.58141743599776,-96.27354916400223,29.721618,-95.38294,79.75125573528098
115,7,CC2,29.94163953599776,-95.62146636400223,29.721618,-95.38294,20.8686181253925
116,7,CC3,29.57231623599776,-98.66450816400224,29.721618,-95.38294,197.316004026841
117,7,CC4,33.01436533599776,-96.91406716400223,29.721618,-95.38294,244.773146760533
118,7,CC5,32.90621253599776,-97.24508146400224,29.721618,-95.38294,245.94863317769054
119,7,CC6,30.317991435997758,-95.54625956400224,29.721618,-95.38294,42.348004936996915
120,7,CC7,30.40097953599776,-97.60847516400224,29.721618,-95.38294,141.1179818539839
121,7,CC8,30.256567935997758,-97.86651526400223,29.721618,-95.38294,153.14833257170687
122,7,CC9,33.494254235997765,-94.10303056400224,29.721618,-95.38294,271.3185406904754
123,7,CC10,29.98764483599776,-94.00640206400223,29.721618,-95.38294,84.51026701926298
124,7,CC11,32.66487923599776,-97.18582756400224,29.721618,-95.38294,229.5745402708773
125,7,CC12,30.165192835997757,-97.84980756400223,29.721618,-95.38294,150.83612346580927
126,7,CC13,33.060500835997765,-97.01219376400223,29.721618,-95.38294,249.89689784710208
127,7,CC14,33.214847035997764,-96.71342586400223,29.721618,-95.38294,253.76746707724368
128,7,CC15,29.519389635997758,-95.42682336400223,29.721618,-95.38294,14.219087797117224
129,7,CC16,32.62743383599776,-96.85587306400224,29.721618,-95.38294,218.8333433555594
130,7,CC17,31.61238243599776,-94.64591756400223,29.721618,-95.38294,137.78556394228525
131,7,CC18,32.917913235997766,-97.20241866400224,29.721618,-95.38294,245.55795406269456
132,7,CC19,31.947098935997758,-106.43302206400223,29.721618,-95.38294,673.0190709838123
133,8,CC1,30.58141743599776,-96.27354916400223,33.04004014147448,-96.83242467862007,173.01395876084743
134,8,CC2,29.94163953599776,-95.62146636400223,33.04004014147448,-96.83242467862007,225.64913292354467
